id,gold,gold_cmp,pred,correct,success,execution_success,attempts,elapsed_s,vote_agreement,vote_tied,sandbox_failures,sandbox_timeouts,difficulty,source
aime_2022_000,116,116,116,True,True,True,5,334.663,1.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2022_001,756,756,0,False,False,False,5,356.821,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_002,150,150,2,False,True,False,5,370.988,1.0,False,2,0,hard,AI-MO/aimo-validation-aime
aime_2022_003,245,245,0,False,False,False,5,327.297,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_004,392,392,0,False,False,False,5,358.88,0.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_005,459,459,30,False,True,False,5,359.0,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_006,33,33,96,False,True,True,5,343.517,1.0,False,3,0,hard,AI-MO/aimo-validation-aime
aime_2022_007,227,227,227,True,True,True,2,81.004,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2022_008,242,242,299,False,True,True,2,130.286,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2022_009,834,834,333,False,True,True,5,314.714,1.0,False,3,1,hard,AI-MO/aimo-validation-aime
aime_2022_010,550,550,0,False,True,True,5,354.315,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_011,228,228,228,True,True,True,5,329.039,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_012,289,289,0,False,False,False,5,351.729,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_013,378,378,108,False,True,True,5,328.515,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_014,247,247,0,False,False,False,5,355.161,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
aime_2022_015,154,154,22,False,True,True,6,343.575,1.0,False,5,2,hard,AI-MO/aimo-validation-aime
aime_2022_016,4,4,4,True,True,True,2,82.309,1.0,False,0,0,hard,AI-MO/aimo-validation-aime
aime_2022_017,180,180,4,False,True,True,5,321.611,1.0,False,4,0,hard,AI-MO/aimo-validation-aime
aime_2022_018,23,23,769,False,True,True,5,364.045,1.0,False,4,1,hard,AI-MO/aimo-validation-aime
aime_2022_019,220,220,0,False,False,False,5,331.883,0.0,False,4,1,hard,AI-MO/aimo-validation-aime
aime_2022_020,188,188,0,False,False,False,5,337.547,0.0,False,5,0,hard,AI-MO/aimo-validation-aime
